timestep,real,predicted
3,0.376689,0.41114408
0,0.271,0.289913
1,0.27345,0.2654274
2,0.278167,0.28140503
3,0.28775,0.27278998
0,1.783783,1.8116187
1,1.783783,1.8382474
2,1.783783,1.8283948
3,1.783783,1.8356612
0,0.144733,0.19106975
1,0.1532,0.064080976
2,0.1628,0.11675662
3,0.172341,0.06917303
0,0.256222,0.2126505
1,0.272939,0.22807676
2,0.288339,0.23576994
3,0.301261,0.24051723
0,0.349622,0.39201444
1,0.353628,0.33084494
2,0.3558,0.35855982
3,0.354708,0.32971936
0,0.048,0.040828906
1,0.048,0.07856263
2,0.049644,0.07620814
3,0.050422,0.09350605
0,0.58321,0.46512896
1,0.582224,0.5336123
2,0.581056,0.51400954
3,0.581323,0.5281322
0,0.864978,0.894762
1,0.858633,0.87332195
2,0.852615,0.8782558
3,0.848367,0.8618158
0,0.011278,0.045230355
1,0.011544,-0.040198334
2,0.013,-0.016112674
3,0.013,-0.053727865
0,0.46485,0.5623474
1,0.443289,0.5026861
2,0.415948,0.5167784
3,0.41017,0.48697174
0,0.300539,0.23711781
1,0.287061,0.27725935
2,0.267052,0.25982937
3,0.247583,0.26534018
0,0.689339,0.68544424
1,0.685383,0.66878146
2,0.663967,0.6690351
3,0.663967,0.6505675
0,0.000163,-0.13972092
1,9.3e-05,-0.12918547
2,9.3e-05,-0.135918
3,9.3e-05,-0.13674097
0,1.006026,0.977558
1,1.086609,1.017634
2,1.122621,1.006447
3,1.114444,1.0156083
0,0.350011,0.48353365
1,0.350667,0.3749625
2,0.351611,0.40938032
3,0.351056,0.3669551
0,1.35921,1.1440428
1,1.305802,1.1735796
2,1.265822,1.1631196
3,1.220086,1.1691561
0,0.283925,0.28827745
1,0.301511,0.33235198
2,0.322465,0.3543355
3,0.351841,0.37872452
0,0.971067,0.874109
1,0.980533,0.90489274
2,0.984867,0.9070678
3,0.985267,0.9133428
0,1.545704,1.5876752
1,1.563467,1.5803953
2,1.57125,1.5808487
